IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,consent,ID,browser_info_Resolution,timer_pitch_deck_First Click,timer_pitch_deck_Last Click,timer_pitch_deck_Page Submit,timer_pitch_deck_Click Count,invest_prob_1,fluency_1,quality,cvpa_v_1,cvpa_v_2,cvpa_v_3,cvpa_v_4,cvpa_a_1,cvpa_a_2,cvpa_a_3,cvpa_a_4,cvpa_r_1,cvpa_r_2,cvpa_r_3,age,gender,invest_experience,attention_check,attention_check_99_TEXT,comprehension_check,PROLIFIC_PID,fluency_condition,quality_condition,device
231,291,TRUE,2022-12-21T16:43:01Z,R_yqNkI8CYtlPliRX,yes,229,1440x900,11.8,11.8,202.346,1,90,93,5,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,37,Female,5,Once a week,NA,Medical innovation,229,high,low,NA
232,309,TRUE,2022-12-21T16:43:09Z,R_1ZVtxmNveYkO2hH,yes,230,1920x1080,8.447,8.447,30.078,1,78,22,5,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,46,Male,8,Other,I have read this text carefully,Medical innovation,230,low,high,NA
233,462,FALSE,2022-12-21T16:43:32Z,R_33vvKLk3jlJJeN0,yes,231,1920x1080,4.612,4.612,89.651,1,75,86,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,high,high,NA
234,327,TRUE,2022-12-21T16:44:03Z,R_TuyV9tQtZioII0N,yes,232,360x740,0.571,57.094,57.593,2,26,86,5,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,27,Female,2,Other,I have read this text carefully,Medical innovation,232,high,high,mobile
235,273,TRUE,2022-12-21T16:44:04Z,R_1TBnAmSlzQYkIwN,yes,233,2040x1152,0,0,53.642,0,52,58,5,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,51,Male,1,Other,I have read this text carefully,Medical innovation,233,high,high,NA
236,152,TRUE,2022-12-21T16:44:08Z,R_3soXFDOinuJJa2a,yes,234,1920x1080,4.984,5.765,8.433,2,0,99,4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,24,Male,2,Other,I have read this text carefully,Medical innovation,234,high,high,NA
237,321,TRUE,2022-12-21T16:44:09Z,R_1IZfSzBQofTEhvO,yes,235,1280x720,7.536,8.531,187.197,2,75,87,5,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,38,Male,3,Other,I have read this text carefully,Medical innovation,235,high,low,NA
238,230,TRUE,2022-12-21T16:44:13Z,R_27anWxKBb1WUhzD,yes,236,1366x768,0.236,17.268,136.607,2,86,10,6,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,30,Female,2,Other,I have read this text carefully,Medical innovation,236,low,high,NA
239,521,TRUE,2022-12-21T16:44:52Z,R_3sjjVsWoLbwKj8Z,yes,237,1280x720,18.466,18.466,289.416,1,100,7,6,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,31,Male,2,Other,I have read this text carefully,Medical innovation,237,high,high,NA
240,321,TRUE,2022-12-21T16:44:59Z,R_2QflyGw8tM2MNvG,yes,238,360x780,6.396,10.166,141.96,3,70,77,5,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,40,Male,1,Other,I have read this text carefully,Medical innovation,238,high,low,mobile
233,70,FALSE,2022-12-21T16:45:12Z,R_2aR0BVg8dOz8k2F,yes,231,1920x1080,0,0,0.738,0,75,78,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,low,high,NA
241,436,TRUE,2022-12-21T16:45:23Z,R_32LdMNh6sNDCp0L,yes,239,1536x864,14.966,14.966,265.351,1,0,32,3,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,40,Male,4,Other,I have read this text carefully,Medical innovation,239,high,low,NA
242,433,TRUE,2022-12-21T16:45:59Z,R_3DcqeSpfAQwJTct,yes,240,414x896,2.158,13.825,265.453,2,83,83,6,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,28,Male,0,Other,I have read this text carefully,Medical innovation,240,low,low,mobile
243,507,TRUE,2022-12-21T16:46:05Z,R_qU5BagCfnArz6Fz,yes,241,390x844,1.677,336.82,340.685,8,70,76,5,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,42,Male,1,Other,I have read this text carefully,Medical innovation,241,high,high,mobile
244,871,TRUE,2022-12-21T16:46:35Z,R_2fcVPbhSxrazBF3,yes,242,1440x900,203.949,203.949,536.28,1,40,78,5,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,72,Male,3,Other,I have read this text carefully,Medical innovation,242,high,low,NA
245,200,TRUE,2022-12-21T16:46:45Z,R_26evjFaUeDw5kWO,yes,243,1366x768,8.21,13.504,76.022,2,40,29,4,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,34,Male,5,Other,I have read this text carefully,Medical innovation,243,high,high,NA
246,325,TRUE,2022-12-21T16:46:45Z,R_33xzhhnkjhDvdYO,yes,244,1536x864,3.523,22.128,180.364,4,6,24,2,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,54,Female,20,Other,I have read this text carefully,Medical innovation,244,high,low,NA
247,136,TRUE,2022-12-21T16:46:50Z,R_1CBLDKBRque9zwA,yes,245,1440x900,0,0,9.571,0,65,81,5,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,48,Male,6,Other,I have read this text carefully,Medical innovation,245,high,low,NA
248,616,TRUE,2022-12-21T16:47:00Z,R_wXdwJLsSdVLGCOd,yes,246,1440x900,12.292,12.292,316.253,1,85,52,5,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,42,Female,4,Other,I have read this text carefully,Medical innovation,246,low,low,NA
249,120,TRUE,2022-12-21T16:47:07Z,R_3kAqcsdqf0YWto9,yes,247,1300x731,8.403,8.403,19.179,1,1,34,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,40,Male,5,Other,I have read this text carefully,Medical innovation,247,low,low,NA
250,269,TRUE,2022-12-21T16:47:24Z,R_27K9OzEXdRXtfl6,yes,248,1920x1080,9.002,9.002,167.518,1,53,22,5,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Agree,36,Female,0,Other,I have read this text carefully,Medical innovation,248,low,low,NA
251,416,TRUE,2022-12-21T16:47:25Z,R_1n29DJHMWkk1jwB,yes,249,1920x1080,12.27,12.27,265.129,1,60,74,6,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,44,Male,0,Other,I have read this text carefully,Medical innovation,249,low,high,NA
252,170,TRUE,2022-12-21T16:47:42Z,R_e8ugCktDYg4egkp,yes,250,1440x900,15.651,15.651,44.953,1,85,63,5,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,46,Female,10,Other,I have read this text carefully,Medical innovation,250,high,low,NA
253,301,TRUE,2022-12-21T16:48:01Z,R_2S7RjMomQsQufjl,yes,251,1920x1080,3.898,3.898,175.901,1,20,18,4,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,69,Male,20,Other,I have read this text carefully,Medical innovation,251,low,low,NA
254,175,TRUE,2022-12-21T16:48:12Z,R_3O2jQqctrwhUGVg,yes,252,1536x864,5.024,5.024,52.87,1,74,46,6,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,31,Female,2,Other,I have read this text carefully,Medical innovation,252,high,high,NA
255,445,TRUE,2022-12-21T16:49:27Z,R_2DOcw4iqOgXUIuu,yes,253,1536x864,18.885,18.885,292.444,1,5,32,4,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,57,Male,5,Every day,NA,Medical innovation,253,high,low,NA
256,321,TRUE,2022-12-21T16:49:33Z,R_1Q0hUQkZRPrEyFr,yes,254,1600x900,4.704,4.704,205.262,1,67,91,6,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,58,Female,0,Other,I have read this text carefully,Medical innovation,254,high,high,NA
257,137,TRUE,2022-12-21T16:50:58Z,R_3jVydY6LJHUuxus,yes,255,1920x1080,5.515,5.515,45.908,1,15,0,4,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,45,Male,3,Other,I have read this text carefully,Medical innovation,255,low,low,NA
258,99,TRUE,2022-12-21T16:51:16Z,R_297bG4zXwtNv3fu,yes,256,360x804,0.456,10.972,11.612,3,63,71,5,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,25,Male,3,2-3 times a week,NA,Medical innovation,256,high,low,mobile
259,708,FALSE,2022-12-21T16:51:34Z,R_24FMEjgrcDKdIJC,yes,257,1920x1080,21.366,21.366,23.476,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,high,high,NA
260,434,TRUE,2022-12-21T16:51:56Z,R_1mPMOwAHNjgEYu4,yes,258,2048x1152,10.572,10.572,202.609,1,28,11,3,Agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,46,Female,3,Other,I have read this text carefully,Medical innovation,258,high,high,NA
261,570,TRUE,2022-12-21T16:52:03Z,R_Ahd1SmhMJf7e7x7,yes,259,1920x1080,2.233,2.233,170.671,1,19,43,4,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Disagree,31,Female,5,Other,I have read this text carefully,Medical innovation,259,low,high,NA
262,226,TRUE,2022-12-21T16:52:12Z,R_r0vUyYr1mQPrINr,yes,260,1536x864,6.518,140.7,141.388,2,61,69,5,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,40,Male,2,Every day,NA,Medical innovation,260,low,low,NA
263,314,TRUE,2022-12-21T16:52:14Z,R_28H9Vhb0FPTbA36,yes,261,1280x720,7.082,11.392,158.093,2,60,100,6,Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,64,Female,7,Other,I have read this text carefully,Medical innovation,261,high,low,NA
264,625,TRUE,2022-12-21T16:52:39Z,R_3oz6ndnPK568GVV,yes,262,1920x1080,43.895,43.895,180.213,1,75,71,4,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,25,Male,0,Other,I have read this text carefully,Medical innovation,262,low,high,NA
265,249,TRUE,2022-12-21T16:52:56Z,R_3HOnlPUVrB2g5Az,yes,263,1280x720,8.536,8.536,131.218,1,20,88,4,Disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,44,Male,11,Other,I have read this text carefully,Medical innovation,263,low,high,NA
266,502,TRUE,2022-12-21T16:53:02Z,R_vp09R8ISoasAz6x,yes,264,1920x1080,60.873,60.873,162.342,1,40,33,3,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,33,Male,3,Other,I have read this text carefully,Medical innovation,264,high,high,NA
267,613,TRUE,2022-12-21T16:53:52Z,R_XBXxrtvCQD27I7n,yes,265,1366x768,6.373,27.986,218.54,3,90,75,6,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,24,Male,2,Other,I have read this text carefully,Medical innovation,265,low,low,NA
268,361,TRUE,2022-12-21T16:53:56Z,R_vZHAN9usGnhHOyB,yes,266,1920x1080,7.79,7.79,147.446,1,10,81,4,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,36,Male,0,Other,I have read this text carefully,Medical innovation,266,low,high,NA
269,119,TRUE,2022-12-21T16:54:58Z,R_1fZLRuCehDvEICG,yes,267,376x835,0,0,6.503,0,64,42,5,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,32,Female,0,4-6 times a week,NA,Medical innovation,267,low,high,mobile
270,239,TRUE,2022-12-21T16:55:14Z,R_3fV84squTHmfVfe,yes,268,1366x768,0,0,5.91,0,65,63,6,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,31,Male,1,Once a week,NA,Sports analytics,268,high,high,NA
271,617,TRUE,2022-12-21T16:55:36Z,R_DIWuausiniXfqP7,yes,269,1920x1080,20.592,36.986,385.925,2,70,71,5,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,43,Male,2,Other,I have read this text carefully,Medical innovation,269,high,high,NA
272,314,TRUE,2022-12-21T16:57:02Z,R_pABU1P5TavP9ngZ,yes,270,1920x1080,2.669,8.924,57.77,3,15,0,3,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,33,Male,5,Other,I have read this text carefully,Medical innovation,270,high,low,NA
273,301,TRUE,2022-12-21T16:57:47Z,R_2Wu6aE7ormNLliW,yes,271,1920x1080,13.568,13.568,36.025,1,65,100,5,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,34,Female,0,Other,I have read this text carefully,Medical innovation,271,low,high,NA
274,436,TRUE,2022-12-21T16:58:53Z,R_1nO6iMlJYfvUgkl,yes,272,320x568,6.817,16.905,275.353,3,0,100,2,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,54,Female,0,Other,I have read this text carefully,Medical innovation,272,low,high,mobile
275,134,TRUE,2022-12-21T16:59:31Z,R_2TBl7XTKg0nCpQs,yes,273,1536x864,5.688,5.688,32.453,1,63,72,5,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,57,Male,15,Other,I have read this text carefully,Medical innovation,273,low,low,NA
276,308,TRUE,2022-12-21T17:00:28Z,R_74EQi5mRkrQaDfP,yes,274,2560x1440,8.862,8.862,177.516,1,75,100,5,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,34,Male,0,Other,I have read this text carefully,Medical innovation,274,high,low,NA
277,456,TRUE,2022-12-21T17:00:43Z,R_2QR1rF3P10drePD,yes,275,412x892,17.956,17.956,285.944,1,10,58,4,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,40,Male,2,Other,I have read this text carefully,Medical innovation,275,low,high,mobile
278,258,TRUE,2022-12-21T17:00:48Z,R_1ITd89Uu2RHfviT,yes,276,1920x1080,4.499,4.499,161.333,1,30,34,4,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,43,Female,0,Other,I have read this text carefully,Medical innovation,276,low,low,NA
279,113,FALSE,2022-12-21T17:01:04Z,R_uftZb9AkT0B84Uh,yes,277,1440x900,0,0,19.196,0,70,80,4,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,30,Female,12,NA,NA,NA,277,low,high,NA
280,493,TRUE,2022-12-21T17:01:09Z,R_wLvBJ1MtKr4hDDr,yes,278,1920x1080,21.772,21.772,65.559,1,30,82,5,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,34,Male,1,Other,I have read this text carefully,Medical innovation,278,high,low,NA
281,598,TRUE,2022-12-21T17:01:18Z,R_1LdJZnRO5eHvMPL,yes,279,1920x1080,1.682,1.682,6.158,1,60,77,5,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,34,Male,3,Other,I have read this text carefully,Medical innovation,279,high,high,NA
282,420,TRUE,2022-12-21T17:03:05Z,R_1eQ6lHIVJQSU4Yi,yes,280,800x1280,7.236,24.52,27.438,2,67,74,5,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,26,Male,4,Other,I have read this text carefully,Medical innovation,280,high,high,mobile
283,1211,TRUE,2022-12-21T17:04:18Z,R_1NrkirAovoYRayc,yes,281,2560x1440,359.464,361.48,801.798,2,80,100,5,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,35,Male,0,Other,I have read this text carefully,Medical innovation,281,high,high,NA
284,510,TRUE,2022-12-21T17:04:30Z,R_11hLfte78AzCaYR,yes,282,1440x900,12.505,12.505,327.503,1,74,76,6,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,69,Male,0,Other,I have read this text carefully,Medical innovation,282,high,high,NA
285,5,FALSE,2022-12-21T17:06:16Z,R_2q4Ra6t0AVQzcgf,yes,283,414x896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,high,low,mobile
286,884,TRUE,2022-12-21T17:06:29Z,R_Djmx9GVeE0fCQJb,yes,284,1440x900,9.596,9.596,564.833,1,15,83,6,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Agree,28,Male,1,Other,I have read this text carefully,Medical innovation,284,low,low,NA
287,339,TRUE,2022-12-21T17:07:02Z,R_12t2MtYVrcsme1i,yes,285,2048x1152,16.926,16.926,206.333,1,55,66,6,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,35,Female,0,Other,I have read this text carefully,Medical innovation,285,low,high,NA
288,768,TRUE,2022-12-21T17:07:08Z,R_11ZtTQvZpj0lWDt,yes,286,1920x1080,59.449,59.449,318.606,1,60,29,5,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,63,Male,1,Other,I have read this text carefully,Medical innovation,286,low,low,NA
289,1289,TRUE,2022-12-21T17:07:16Z,R_2w5EF1GCVZ2zEuD,yes,287,1291x726,20.101,20.101,189.27,1,71,62,6,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,49,Male,2,Other,I have read this text carefully,Medical innovation,287,high,low,NA
290,1153,TRUE,2022-12-21T17:07:56Z,R_3sjOX1siWZxRTZI,yes,288,1440x900,0,0,1.032,0,71,63,6,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,18,Male,2,4-6 times a week,NA,HR technology,288,high,high,NA
291,11,FALSE,2022-12-21T17:17:21Z,R_x56s25VA7RFOigV,yes,289,360x740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,low,low,mobile
292,559,TRUE,2022-12-21T17:20:51Z,R_2rZb3JFtqDGYsG6,yes,290,1366x768,18.272,18.272,210.112,1,62,34,4,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,23,Male,7,Other,I have read this text carefully,Medical innovation,290,low,low,NA
293,17,FALSE,2022-12-21T17:23:17Z,R_26lup05oDV1m2wB,yes,291,414x736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,high,low,mobile
294,254,TRUE,2022-12-21T17:27:32Z,R_20SSDkHXHf7zhAo,yes,292,1344x840,78.258,78.258,161.507,1,40,70,5,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,51,Male,6,Other,I have read this text carefully,Medical innovation,292,high,high,NA
206,65,FALSE,2022-12-21T17:31:33Z,R_ymVK0zDMvXVPdF7,yes,204,1920x1080,7.978,7.978,55.604,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,low,high,NA
295,5,FALSE,2022-12-21T17:32:11Z,R_3OjlQwsYBmefELs,yes,293,390x844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,high,low,mobile
216,122,FALSE,2022-12-21T17:34:33Z,R_AndMtPbIzGqLfzz,yes,214,360x760,0.944,4.574,23.755,3,43,49,4,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,NA,NA,NA,NA,NA,214,high,low,mobile
296,6,FALSE,2022-12-21T17:34:36Z,R_31TPJm74w56YjLB,yes,228,412x915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,high,low,mobile
297,587,FALSE,2022-12-21T17:35:48Z,R_1FbkFAzvLuk7M7s,yes,294,1680x1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,low,high,NA
213,4,FALSE,2022-12-21T17:35:50Z,R_1kN4LK7DmabUUy8,yes,211,2560x1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,low,low,NA
298,388,TRUE,2022-12-21T17:36:35Z,R_3MfdGDmSFBvtJ5x,yes,295,1440x900,42.341,43.416,260.834,2,35,36,5,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,33,Male,1.5,Other,I have read this text carefully,Medical innovation,295,high,low,NA
299,424,TRUE,2022-12-21T17:38:04Z,R_cuc79tYiXYJDrlD,yes,296,1536x864,8.103,8.103,253.737,1,73,25,5,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,64,Male,40,Every day,NA,Medical innovation,296,high,low,NA
300,254,TRUE,2022-12-21T17:38:34Z,R_1LhOTAg4fsNShxr,yes,297,1600x1200,9.878,9.878,136.611,1,55,70,6,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,40,Male,0,Other,I have read this text carefully,Medical innovation,297,high,high,NA
227,5,FALSE,2022-12-21T17:40:59Z,R_2dHfemfec3qr9tp,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high,low,NA
301,318,TRUE,2022-12-21T17:41:10Z,R_vBq98zqZ6PJw2Bj,yes,299,1376x774,12.69,12.69,178.268,1,10,49,2,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,65,Female,14,Other,I have read this text carefully,Medical innovation,299,low,low,NA
302,177,TRUE,2022-12-21T17:41:34Z,R_eg4ppTpxX9OQLWp,yes,300,1920x1080,3.409,3.409,60.998,1,35,34,5,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,21,Male,1,Other,I have read this text carefully,Medical innovation,300,high,high,NA
303,279,TRUE,2022-12-21T17:41:38Z,R_p3OV1EQA3sXQ0hj,yes,301,375x812,5.842,119.713,120.5,2,58,15,6,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,23,Male,2,Other,I have read this text carefully,Medical innovation,301,high,low,mobile
227,39,FALSE,2022-12-21T17:41:43Z,R_3eb4BwDJ8C2CW1f,yes,302,1440x2560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high,low,NA
304,204,TRUE,2022-12-21T17:41:43Z,R_3iJANOAOek8sUJb,yes,303,834x1112,8.659,8.659,51.732,1,40,41,5,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,54,Male,15,Other,I have read this text carefully,Medical innovation,303,low,low,NA
305,343,TRUE,2022-12-21T17:41:56Z,R_1HdgaLgs7YWOxEe,yes,304,1920x1080,21.957,41.909,44.383,2,66,44,5,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,39,Male,3,Other,I have read this text carefully,Medical innovation,304,high,high,NA
